Date,Open,High,Low,Close,Volume
11/15/2012,651.299988,651.299988,639,646.25,2360585
11/16/2012,643,648.599976,640.150024,642.25,3025706
11/19/2012,639.75,647.900024,639.450012,646.75,1446987
11/20/2012,649.099976,655.900024,648.25,653.849976,2338347
11/21/2012,655.150024,665.5,649.700012,663.700012,3232446
11/22/2012,666.799988,671.150024,664,669.099976,2110241
11/23/2012,669.5,672.599976,659.049988,669.75,1312428
11/26/2012,673,673.700012,660.099976,661.900024,1370384
11/27/2012,664.900024,683.799988,664.900024,680.5,4125668
11/29/2012,680.5,703.75,675.400024,699.849976,6299863
11/30/2012,701,705.5,689.599976,703.950012,3909823
12/3/2012,700,701.150024,684,686.950012,2909085
12/4/2012,684.099976,690,681.049988,685.150024,2169872
12/5/2012,689,695,687,692.599976,2304965
12/6/2012,695.799988,698.5,680.799988,694.75,2726138
12/7/2012,695.25,698,688,693.099976,1984158
12/10/2012,690,696.5,689.650024,693,2081026
12/11/2012,695.25,699,686.299988,690.849976,3375138
12/12/2012,691.25,696,688.5,693.849976,1934126
12/13/2012,693.849976,696,689,691.049988,1570808
12/14/2012,690.049988,694.400024,685.349976,688.75,2093473
12/17/2012,687.900024,687.900024,673.599976,676.5,3057553
12/18/2012,677.950012,682.200012,669.75,675.950012,3343768
12/19/2012,674.549988,689.25,674.5,688,4122253
12/20/2012,686,687,680.25,683.400024,2565187
12/21/2012,681,682,674.049988,676,2771561
12/24/2012,680,680.150024,671.799988,676.099976,1370563
12/26/2012,676.099976,684.849976,673.099976,680.299988,1430804
12/27/2012,684,684,676.700012,680.099976,2464542
12/28/2012,681.099976,683,674.150024,677.650024,1756066
12/31/2012,677,680,674,678.599976,1276822
1/1/2013,682.099976,685.099976,679.650024,684.5,1007303
1/2/2013,689.900024,690,683.049988,687.349976,2427399
1/3/2013,690,690,680.400024,683.349976,2285683
1/4/2013,685,685,672.799988,679.349976,2721127
1/7/2013,683.700012,683.700012,666,668.200012,2751142
1/8/2013,668,673.400024,665.700012,670.25,2471299
1/9/2013,672,672.549988,666.049988,667.5,3217991
1/10/2013,669.5,678,666.5,675.799988,2282592
1/11/2013,676.900024,676.900024,666.700012,669.299988,2570857
1/14/2013,668.150024,670.5,667.099976,669.299988,2847437
1/15/2013,670.799988,675.450012,665,668.299988,2065844
1/16/2013,665.549988,669.200012,657.599976,660.5,2287689
1/17/2013,657.700012,670.849976,654.049988,666.799988,3211036
1/18/2013,670,674,655.299988,662.849976,5056173
1/21/2013,660,663.400024,654.75,658.549988,2713680
1/22/2013,658.5,661,647.549988,653.75,2121532
1/23/2013,657,663,654.349976,656.599976,1769935
1/24/2013,655.599976,662.75,655.25,660.299988,1536990
1/25/2013,660.299988,667,655.549988,665.049988,1397433
1/28/2013,665.25,672,664.450012,670.349976,1842005
1/29/2013,670.75,670.900024,650,652.450012,2990437
1/30/2013,653,658.400024,644,656.650024,2509908
1/31/2013,656.599976,657.900024,640.099976,643.049988,3472096
2/1/2013,644.799988,644.849976,636.200012,640.150024,2621036
2/4/2013,641.150024,649.5,640,646.900024,2618950
2/5/2013,636.349976,647.200012,636.349976,644.150024,1865005
2/6/2013,646.599976,646.900024,637.200012,639.5,2468397
2/7/2013,636.299988,643,634.549988,641.5,2270709
2/8/2013,640.5,653.400024,640.5,650.049988,4706664
2/11/2013,650,659.950012,650,656.950012,3791765
2/12/2013,655.650024,667,655.650024,665.200012,3958209
2/13/2013,663.299988,667.400024,659.5,664.200012,3627208
2/14/2013,664,678.400024,662,674.799988,4421038
2/15/2013,671.700012,680.799988,668.200012,676.75,3122195
2/18/2013,678,680.900024,674,676,2367291
2/19/2013,674.5,677.400024,671.549988,674.799988,593703
2/20/2013,677.5,680.799988,674.900024,676.950012,1715421
2/21/2013,675,677.450012,664.049988,666.25,2717968
2/22/2013,662.200012,666.400024,657.549988,659.299988,1927096
2/25/2013,663.25,665.200012,654.099976,656.450012,1888236
2/26/2013,654.799988,663,645.400024,651.25,2935660
2/27/2013,652.299988,654,640.900024,642.75,3217834
2/28/2013,646.950012,654.950012,619.349976,625.349976,6971751
3/1/2013,625,629.599976,616.299988,622.5,4305182
3/4/2013,620.349976,630.299988,618,627.650024,2992450
3/5/2013,630.900024,634.700012,623.150024,632.950012,2639395
3/6/2013,634.950012,637.150024,629,630.5,2733329
3/7/2013,628.349976,642.950012,627.150024,641.799988,1487746
3/8/2013,644.200012,660,643.400024,657.299988,2649215
3/11/2013,657.299988,659.700012,650.25,655.25,2126146
3/12/2013,653,655.700012,640.099976,644,1723931
3/13/2013,641.049988,645.900024,632.200012,634.900024,1978343
3/14/2013,634.900024,653.5,615.349976,649.25,7978609
3/15/2013,645,649.900024,633.799988,639.400024,3859902
3/18/2013,633,654,630,643.299988,4390481
3/19/2013,643,643.799988,624,631.549988,5007115
3/20/2013,632,633.450012,621,625.5,2834109
3/21/2013,622.650024,628.799988,603.75,607,3613147
3/22/2013,609,614.599976,602.599976,605.25,7381475
3/25/2013,611,613.349976,607.549988,609.400024,6799744
3/26/2013,606,617.5,602.549988,614.5,3318601
3/28/2013,614.5,631.150024,606.950012,625.349976,4874023
4/1/2013,625.349976,629,621,623.849976,1677193
4/2/2013,625,634.299988,617.900024,629.900024,1714355
4/3/2013,628,631.650024,619.5,623.650024,1675904
4/4/2013,618.799988,623.400024,613.450012,616.150024,2045496
4/5/2013,614.950012,626.400024,613.400024,620.950012,3239980
4/8/2013,618.950012,628.950012,617.75,624.450012,2163032
4/9/2013,628.099976,628.099976,617.400024,620.599976,3690102
4/10/2013,626.799988,633.650024,618.950012,632,3786126
4/11/2013,632.5,642,631.900024,639.25,6266517
4/12/2013,636.099976,645.849976,636.099976,643.700012,3801520
4/15/2013,642.099976,643.450012,635,641.549988,3980942
4/16/2013,643,665.849976,642.349976,663.349976,3435078
4/17/2013,665,671.849976,656.799988,660.099976,3739237
4/18/2013,654,675.400024,654,673.599976,2305946
4/22/2013,673.599976,702,673.599976,698.299988,4965038
4/23/2013,698.799988,700,678.799988,689,5965890
4/25/2013,689,695,680.049988,689.549988,6473781
4/26/2013,687.650024,692.25,683,689.099976,2142186
4/29/2013,688.25,696.849976,686.5,695.150024,2918858
4/30/2013,694,695.950012,676.799988,682.299988,3138068
5/2/2013,682.299988,694,682.299988,692.5,3075817
5/3/2013,692.599976,694,678.650024,680.950012,3071646
5/6/2013,679,679.299988,669.950012,675.5,1918365
5/7/2013,676.299988,689.900024,672.5,688.049988,2774616
5/8/2013,689,699.5,686.5,697.150024,2163489
5/9/2013,699.049988,699.5,688.200012,690.049988,1130840
5/10/2013,688.700012,704.900024,688.650024,703.349976,3478314
5/13/2013,705,711.450012,690.799988,692.75,2398493
5/14/2013,690.049988,694.900024,685.099976,689.049988,1663419
5/15/2013,693.5,716,691.349976,714.849976,3543370
5/16/2013,712,724,711,722.799988,2915154
5/17/2013,722.5,722.5,709.200012,718.900024,3204963
5/20/2013,719.5,724,712.150024,714.5,1460402
5/21/2013,714,718,705.049988,707.799988,2301625
5/22/2013,707.5,712,698,703.450012,1353028
5/23/2013,699,706.450012,694.299988,698.599976,1976312
5/24/2013,705.75,705.75,694.299988,701.349976,2066060
5/27/2013,698.599976,717,698.599976,715.049988,2248802
5/28/2013,714.25,720.799988,706.799988,713.299988,1676979
5/29/2013,710.049988,718.450012,703.849976,715.950012,1233373
5/30/2013,710.099976,727.299988,710.099976,725.150024,3839364
5/31/2013,717.25,720.700012,697.700012,700.5,3083224
6/3/2013,698,701.400024,686.549988,689.150024,1972531
6/4/2013,687.299988,693.799988,681,683.049988,1404081
6/5/2013,682,694.400024,678.5,687.950012,1890919
6/6/2013,683.5,689.400024,678,682.200012,1779103
6/7/2013,681.75,693.400024,673.200012,676.150024,2389056
6/10/2013,681.049988,687,671.5,676.349976,1592003
6/11/2013,673.450012,680.900024,662.200012,664.900024,2955215
6/12/2013,662,673.400024,658.450012,663.950012,2453913
6/13/2013,657.599976,661,653.349976,655.099976,1787434
6/14/2013,662,668.450012,659.299988,665.049988,3741303
6/17/2013,665.599976,669.200012,657.349976,667.349976,3267727
6/18/2013,668,668,655,657.450012,3111642
6/19/2013,656.099976,666.599976,652.849976,665.200012,2411739
6/20/2013,658.849976,658.849976,634.599976,636.599976,3784511
6/21/2013,636.799988,642.549988,630.099976,635.25,4474961
